respondent_id,respondent_type,business_name,state,occupation_or_business_type,household_size,num_employees,monthly_household_income,monthly_business_revenue,energy_source,grid_hours_per_day,power_outage_hours,fuel_spend,daily_energy_spend,satisfaction,challenge,appliances,peak_energy_requirement_W,shortfall_frequency,willingness_to_pay,max_extra_hourly_fee,payment_method,payment_cycle,insufficient_action,microgrid_appeal,microgrid_factors,rental_concerns,recommend_likelihood,improvements,focus_group_interest,other_comments,photo,gps_latitude,gps_longitude,gps_altitude,gps_accuracy
ID-011,Workshop,Prime Mart,"Abuja FCT, Nigeria",Repair/Services,,More than 20,,"₦50,000–₦250,000",None,5–10,Daily outages,"₦1,000–₦3,000","₦3,000–₦5,000",Dissatisfied,Insufficient capacity to power all devices,"Mobile phone charger, Machinery, Fan, Fridge",2000 W,Every day,"₦3,000",₦1000,Bank transfer,Pay-as-you-use,Switch back to current method,Slightly appealing,"Ability to charge/discharge flexibly, Reliable service (24/7 availability)",Maintenance/damage responsibility,Would not recommend,Faster exchange,No,-,photo_011.jpg,9.506476343,7.382889698,508.4182673,15.42966268
ID-012,Workshop,Golden Ventures,"Abuja FCT, Nigeria",Office/Consulting,,Just me (sole proprietor),,"₦50,000–₦250,000",None,11–18,More than 6 hours,"More than ₦5,000","More than ₦5,000",Very satisfied,Insufficient capacity to power all devices,"TV, Lights, Fridge, Mobile phone charger",100 W,Every day,"₦4,000",₦300,POS/Mobile App,Monthly,Switch back to current method,Appealing,"Ability to charge/discharge flexibly, Lower rental cost due to shared surplus, Reliable service (24/7 availability)","Insufficient capacity to power all devices, Difficulty/delay in exchanging batteries, Maintenance/damage responsibility",Probably would recommend,None,Yes,-,photo_012.jpg,9.018226127,7.605762478,535.4184314,15.5956063
ID-013,Household (non-business),,"Abuja FCT, Nigeria",Restaurant/Catering,8,,"₦50,000–₦100,000",,None,5–10,2–4 hours,"₦3,000–₦5,000","₦1,000–₦3,000",Dissatisfied,Noise or pollution (if using generator),"TV, Machinery, Fridge, Fan, POS terminal",100 W,Rarely,"₦7,000",₦1000,Cash,Monthly,Top up with generator/fuel,Appealing,Lower rental cost due to shared surplus,"Insufficient capacity to power all devices, Unreliable availability of charged units",Probably would recommend,Better monitoring,Yes,-,photo_013.jpg,9.425602189,7.210140161,545.202896,19.22050686
ID-014,Household (non-business),,"Abuja FCT, Nigeria",Repair/Services,5,,"₦20,000–₦50,000",,National Grid,0–4,2–4 hours,"More than ₦5,000","More than ₦5,000",Satisfied,Unreliable availability of charged units,"Fan, Machinery, Mobile phone charger, POS terminal",200 W,Rarely,"₦6,000",₦1000,Cash,Monthly,Rent an additional battery,Not appealing,"Ability to charge/discharge flexibly, Lower rental cost due to shared surplus, Reliable service (24/7 availability)","Unreliable availability of charged units, Maintenance/damage responsibility, Difficulty/delay in exchanging batteries",Definitely would recommend,Faster exchange,Yes,None,photo_014.jpg,9.209435854,7.321669428,517.5761431,14.28526147
ID-015,Shop,Green Ventures,"Abuja FCT, Nigeria",Retail Shop,,Just me (sole proprietor),,"₦500,000–₦1,000,000",Fossil generator,0–4,Daily outages,"More than ₦5,000","₦3,000–₦5,000",Very dissatisfied,Insufficient capacity to power all devices,"Lights, POS terminal, Fridge, Fan",500 W,4–6 times per week,"₦3,000",₦500,Bank transfer,Daily,Top up with generator/fuel,Slightly appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus","Maintenance/damage responsibility, High daily cost compared to current method",Definitely would recommend,Faster exchange,Yes,None,photo_015.jpg,9.266730448,7.410229971,528.1388678,13.3053125
ID-016,Household (non-business),,"Abuja FCT, Nigeria",Repair/Services,5,,"₦100,000–₦200,000",,Fossil generator,0–4,2–4 hours,"More than ₦5,000","₦1,000–₦3,000",Very dissatisfied,Noise or pollution (if using generator),"Machinery, Fan, Mobile phone charger, Lights, Fridge",300 W,Every day,"₦5,000",₦500,Cash,Monthly,Switch back to current method,Slightly appealing,"Reliable service (24/7 availability), Ability to charge/discharge flexibly",High daily cost compared to current method,Probably would recommend,Faster exchange,Yes,Beyond,photo_016.jpg,9.088277779,7.715798905,523.1537766,16.46564357
ID-017,MSME,Prime Collections,"Abuja FCT, Nigeria",Repair/Services,,20-Nov,,"₦50,000–₦250,000",None,0–4,More than 6 hours,"₦3,000–₦5,000","₦3,000–₦5,000",Very dissatisfied,Noise or pollution (if using generator),"Machinery, TV, Fan, Fridge, Mobile phone charger",1000 W,Every day,"₦4,000",₦500,Cash,Monthly,Rent an additional battery,Moderately appealing,Reliable service (24/7 availability),"Unreliable availability of charged units, High daily cost compared to current method",Probably would recommend,More flexibility,No,I don’t know,photo_017.jpg,9.35674814,7.500722056,503.9705162,10.20117512
ID-018,Workshop,Bright Stores,"Abuja FCT, Nigeria",Repair/Services,,10-Jun,,"₦50,000–₦250,000",Fossil generator,11–18,Daily outages,"₦3,000–₦5,000","₦1,000–₦3,000",Satisfied,Noise or pollution (if using generator),"Fan, Fridge, Machinery, TV, Mobile phone charger",500 W,Every day,"₦5,000",₦1000,POS/Mobile App,Monthly,Switch back to current method,Slightly appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus","Unreliable availability of charged units, Insufficient capacity to power all devices, Maintenance/damage responsibility",Would not recommend,More flexibility,Yes,-,photo_018.jpg,9.420096572,7.686749561,501.1408231,17.26687727
ID-019,Workshop,Royal Stores,"Abuja FCT, Nigeria",Restaurant/Catering,,Just me (sole proprietor),,"₦500,000–₦1,000,000",Fossil generator,11–18,More than 6 hours,"More than ₦5,000","₦1,000–₦3,000",Very dissatisfied,Noise or pollution (if using generator),"Machinery, Fridge, Lights, TV, POS terminal",2000 W,Rarely,"₦4,000",₦300,Cash,Pay-as-you-use,Rent an additional battery,Moderately appealing,"Lower rental cost due to shared surplus, Ability to charge/discharge flexibly, Reliable service (24/7 availability)","Insufficient capacity to power all devices, Maintenance/damage responsibility",Would not recommend,Better monitoring,No,I don’t know,photo_019.jpg,9.498625141,7.593121537,504.3562757,14.06136585
ID-020,MSME,Capital Mart,"Abuja FCT, Nigeria",Repair/Services,,10-Jun,,"₦500,000–₦1,000,000",National Grid,11–18,2–4 hours,"More than ₦5,000","₦3,000–₦5,000",Satisfied,Insufficient capacity to power all devices,"POS terminal, TV, Machinery, Fan, Fridge",100 W,Every day,"₦6,000",₦1000,Cash,Pay-as-you-use,Switch back to current method,Slightly appealing,"Lower rental cost due to shared surplus, Ability to charge/discharge flexibly","Insufficient capacity to power all devices, High daily cost compared to current method, Difficulty/delay in exchanging batteries",Definitely would recommend,None,Yes,-,photo_020.jpg,9.249915914,7.411194757,517.0532401,14.51425231
ID-021,Workshop,Metro Tech,"Abuja FCT, Nigeria",Office/Consulting,,5-Feb,,"₦250,000–₦500,000",Solar,11–18,2–4 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Dissatisfied,Unreliable availability of charged units,"Machinery, POS terminal, Fridge, Mobile phone charger",1000 W,Rarely,"₦5,000",₦1000,Bank transfer,Daily,Switch back to current method,Appealing,Lower rental cost due to shared surplus,High daily cost compared to current method,Would not recommend,None,No,-,photo_021.jpg,9.285152091,7.542226301,537.9705331,12.91651924
ID-022,Household (non-business),,"Abuja FCT, Nigeria",Repair/Services,6,,"₦50,000–₦100,000",,National Grid,5–10,Daily outages,"₦1,000–₦3,000","₦1,000–₦3,000",Very dissatisfied,Noise or pollution (if using generator),"TV, Fan, Lights",300 W,4–6 times per week,"₦4,000",₦1000,Bank transfer,Weekly,Top up with generator/fuel,Moderately appealing,Lower rental cost due to shared surplus,Insufficient capacity to power all devices,Definitely would recommend,Faster exchange,No,None,photo_022.jpg,9.201113219,7.719985583,520.1982989,13.36245152
ID-023,Household (non-business),,"Abuja FCT, Nigeria",Retail Shop,6,,"₦20,000–₦50,000",,National Grid,0–4,2–4 hours,"More than ₦5,000","More than ₦5,000",Dissatisfied,High daily cost compared to current method,"Machinery, TV, Fridge, Fan",100 W,Every day,"₦3,000",₦1000,POS/Mobile App,Weekly,Rent an additional battery,Not appealing,"Reliable service (24/7 availability), Ability to charge/discharge flexibly",High daily cost compared to current method,Probably would recommend,None,Yes,None,photo_023.jpg,9.22086536,7.671044493,524.041791,15.65463652
ID-024,Household (non-business),,"Abuja FCT, Nigeria",Repair/Services,2,,"₦50,000–₦100,000",,Fossil generator,11–18,More than 6 hours,"More than ₦5,000","More than ₦5,000",Dissatisfied,Insufficient capacity to power all devices,"Fridge, Mobile phone charger",100 W,1–3 times per week,"₦4,000",₦500,Bank transfer,Pay-as-you-use,Top up with generator/fuel,Not appealing,Reliable service (24/7 availability),"Unreliable availability of charged units, High daily cost compared to current method, Maintenance/damage responsibility",Definitely would recommend,Lower cost,Yes,Beyond,photo_024.jpg,9.081678422,7.486083075,513.6836297,11.61611916
ID-025,Household (non-business),,"Abuja FCT, Nigeria",Office/Consulting,4,,"₦20,000–₦50,000",,Mixed sources,11–18,2–4 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Very dissatisfied,Insufficient capacity to power all devices,"Fan, Mobile phone charger, Fridge, TV, Machinery",300 W,1–3 times per week,"₦5,000",₦300,POS/Mobile App,Pay-as-you-use,Rent an additional battery,Appealing,"Ability to charge/discharge flexibly, Reliable service (24/7 availability)",Difficulty/delay in exchanging batteries,Would not recommend,Better monitoring,Yes,-,photo_025.jpg,9.399310602,7.403446637,542.7090745,18.70087094
ID-026,Household (non-business),,"Abuja FCT, Nigeria",Repair/Services,7,,"₦100,000–₦200,000",,Mixed sources,5–10,Daily outages,"₦3,000–₦5,000","₦1,000–₦3,000",Very dissatisfied,High daily cost compared to current method,"Mobile phone charger, Fan",200 W,Rarely,"₦5,000",₦500,Bank transfer,Weekly,Rent an additional battery,Appealing,Ability to charge/discharge flexibly,Insufficient capacity to power all devices,Definitely would recommend,More flexibility,No,I don’t know,photo_026.jpg,9.290315775,7.638131848,509.4240713,11.66405165
ID-027,Shop,Metro Foods,"Abuja FCT, Nigeria",Retail Shop,,20-Nov,,"₦500,000–₦1,000,000",Mixed sources,0–4,More than 6 hours,"More than ₦5,000","₦3,000–₦5,000",Very dissatisfied,Noise or pollution (if using generator),"Fan, POS terminal, Mobile phone charger, Machinery, TV",500 W,Rarely,"₦3,000",₦1000,Cash,Pay-as-you-use,Switch back to current method,Appealing,Reliable service (24/7 availability),"Maintenance/damage responsibility, Difficulty/delay in exchanging batteries, High daily cost compared to current method",Probably would recommend,More flexibility,No,I don’t know,photo_027.jpg,9.507094489,7.713098314,549.9234257,18.92162724
ID-028,Workshop,Royal Mart,"Abuja FCT, Nigeria",Mobile Trader,,Just me (sole proprietor),,"₦50,000–₦250,000",Mixed sources,0–4,More than 6 hours,"More than ₦5,000","₦1,000–₦3,000",Very dissatisfied,High daily cost compared to current method,"Mobile phone charger, Lights, POS terminal, Fridge, Fan",2000 W,Rarely,"₦3,000",₦300,POS/Mobile App,Pay-as-you-use,Rent an additional battery,Appealing,"Reliable service (24/7 availability), Ability to charge/discharge flexibly, Lower rental cost due to shared surplus","Maintenance/damage responsibility, High daily cost compared to current method",Probably would recommend,Better monitoring,Yes,I don’t know,photo_028.jpg,9.431761413,7.578938447,547.1654853,16.56936709
ID-029,Household (non-business),,"Abuja FCT, Nigeria",Retail Shop,5,,"₦20,000–₦50,000",,Mixed sources,5–10,More than 6 hours,"More than ₦5,000","₦1,000–₦3,000",Very satisfied,Insufficient capacity to power all devices,"Lights, TV, POS terminal",300 W,4–6 times per week,"₦6,000",₦1000,POS/Mobile App,Weekly,Switch back to current method,Not appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability)","Maintenance/damage responsibility, Insufficient capacity to power all devices",Definitely would recommend,More flexibility,No,None,photo_029.jpg,9.596442294,7.73555563,535.1095279,13.92011549
ID-030,Household (non-business),,"Abuja FCT, Nigeria",Restaurant/Catering,8,,"₦100,000–₦200,000",,Mixed sources,11–18,2–4 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Very dissatisfied,Unreliable availability of charged units,"Fridge, Mobile phone charger, Lights",200 W,Every day,"₦4,000",₦300,POS/Mobile App,Pay-as-you-use,Switch back to current method,Not appealing,Ability to charge/discharge flexibly,Maintenance/damage responsibility,Probably would recommend,More flexibility,Yes,I don’t know,photo_030.jpg,9.476488603,7.402028504,531.5836527,12.8319385
ID-031,MSME,Unity Mart,"Abuja FCT, Nigeria",Repair/Services,,10-Jun,,"₦500,000–₦1,000,000",National Grid,5–10,Daily outages,"₦1,000–₦3,000","₦1,000–₦3,000",Satisfied,Noise or pollution (if using generator),"Machinery, POS terminal",100 W,4–6 times per week,"₦7,000",₦300,Cash,Monthly,Top up with generator/fuel,Slightly appealing,"Ability to charge/discharge flexibly, Lower rental cost due to shared surplus","High daily cost compared to current method, Maintenance/damage responsibility, Difficulty/delay in exchanging batteries",Definitely would recommend,Lower cost,Yes,-,photo_031.jpg,9.480261419,7.324144744,542.0455499,18.08413253
ID-032,Household (non-business),,"Abuja FCT, Nigeria",Mobile Trader,8,,"₦100,000–₦200,000",,National Grid,5–10,More than 6 hours,"More than ₦5,000","₦1,000–₦3,000",Very dissatisfied,Unreliable availability of charged units,"POS terminal, Fan, TV, Lights, Machinery",100 W,4–6 times per week,"₦6,000",₦1000,Bank transfer,Monthly,Top up with generator/fuel,Appealing,"Reliable service (24/7 availability), Ability to charge/discharge flexibly","Difficulty/delay in exchanging batteries, Insufficient capacity to power all devices",Definitely would recommend,Better monitoring,No,-,photo_032.jpg,9.172927416,7.454787498,527.3480496,14.75796699
ID-033,Workshop,Capital Stores,"Abuja FCT, Nigeria",Workshop,,Just me (sole proprietor),,"₦50,000–₦250,000",Fossil generator,5–10,2–4 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Very dissatisfied,Insufficient capacity to power all devices,"POS terminal, Mobile phone charger, Fan",300 W,1–3 times per week,"₦4,000",₦300,POS/Mobile App,Monthly,Switch back to current method,Appealing,"Reliable service (24/7 availability), Ability to charge/discharge flexibly","Insufficient capacity to power all devices, High daily cost compared to current method",Definitely would recommend,More flexibility,Yes,None,photo_033.jpg,9.574259646,7.282139734,520.8982504,10.7158201
ID-034,Household (non-business),,"Abuja FCT, Nigeria",Restaurant/Catering,8,,"₦100,000–₦200,000",,Mixed sources,5–10,More than 6 hours,"₦3,000–₦5,000","More than ₦5,000",Very dissatisfied,Insufficient capacity to power all devices,"Fan, Mobile phone charger, Machinery",2000 W,1–3 times per week,"₦6,000",₦1000,POS/Mobile App,Pay-as-you-use,Rent an additional battery,Slightly appealing,Lower rental cost due to shared surplus,Unreliable availability of charged units,Would not recommend,Better monitoring,No,None,photo_034.jpg,9.527778224,7.470256804,545.5759328,19.28024045
ID-035,Workshop,Golden Mart,"Abuja FCT, Nigeria",Repair/Services,,5-Feb,,"₦250,000–₦500,000",Fossil generator,11–18,More than 6 hours,"₦3,000–₦5,000","More than ₦5,000",Dissatisfied,Unreliable availability of charged units,"Mobile phone charger, Lights, TV",100 W,Rarely,"₦5,000",₦300,POS/Mobile App,Pay-as-you-use,Rent an additional battery,Appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus, Ability to charge/discharge flexibly",Maintenance/damage responsibility,Probably would recommend,Faster exchange,Yes,Beyond,photo_035.jpg,9.084003269,7.642582158,548.6012568,16.15096133
ID-036,Household (non-business),,"Abuja FCT, Nigeria",Workshop,4,,"₦20,000–₦50,000",,Solar,11–18,More than 6 hours,"₦3,000–₦5,000","₦1,000–₦3,000",Satisfied,Unreliable availability of charged units,"Mobile phone charger, Lights",1000 W,4–6 times per week,"₦3,000",₦1000,Cash,Monthly,Switch back to current method,Moderately appealing,Lower rental cost due to shared surplus,Insufficient capacity to power all devices,Probably would recommend,Better monitoring,Yes,None,photo_036.jpg,9.417987285,7.520097756,546.0718774,19.02586642
ID-037,Workshop,Capital Collections,"Abuja FCT, Nigeria",Retail Shop,,20-Nov,,"Above ₦1,000,000",None,0–4,2–4 hours,"More than ₦5,000","More than ₦5,000",Very dissatisfied,Unreliable availability of charged units,"Lights, Machinery, Fridge, TV",200 W,Every day,"₦5,000",₦500,POS/Mobile App,Pay-as-you-use,Top up with generator/fuel,Slightly appealing,Lower rental cost due to shared surplus,"Difficulty/delay in exchanging batteries, Unreliable availability of charged units",Would not recommend,Faster exchange,No,None,photo_037.jpg,9.366605816,7.247879213,505.6233642,19.30339909
ID-038,Shop,Unity Foods,"Abuja FCT, Nigeria",Workshop,,10-Jun,,"Above ₦1,000,000",Mixed sources,5–10,More than 6 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Very satisfied,Noise or pollution (if using generator),"Fridge, Fan",1000 W,Every day,"₦7,000",₦300,Cash,Daily,Top up with generator/fuel,Appealing,"Ability to charge/discharge flexibly, Lower rental cost due to shared surplus, Reliable service (24/7 availability)",Unreliable availability of charged units,Definitely would recommend,More flexibility,Yes,I don’t know,photo_038.jpg,9.278789115,7.342072402,535.5670575,14.90741572
ID-039,Household (non-business),,"Abuja FCT, Nigeria",Restaurant/Catering,4,,"₦50,000–₦100,000",,Fossil generator,0–4,Daily outages,"More than ₦5,000","₦3,000–₦5,000",Dissatisfied,Noise or pollution (if using generator),"Mobile phone charger, POS terminal, Lights, Machinery, TV",300 W,Every day,"₦6,000",₦300,Cash,Weekly,Top up with generator/fuel,Not appealing,Reliable service (24/7 availability),Difficulty/delay in exchanging batteries,Would not recommend,None,No,-,photo_039.jpg,9.250006472,7.586596221,505.5156831,18.07362914
ID-040,MSME,Prime Mart,"Abuja FCT, Nigeria",Office/Consulting,,More than 20,,"₦500,000–₦1,000,000",None,5–10,Daily outages,"₦1,000–₦3,000","₦3,000–₦5,000",Dissatisfied,Noise or pollution (if using generator),"Fridge, Machinery, Fan, Lights",100 W,Rarely,"₦6,000",₦300,Cash,Daily,Switch back to current method,Moderately appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus","Insufficient capacity to power all devices, Difficulty/delay in exchanging batteries, Unreliable availability of charged units",Probably would recommend,None,Yes,I don’t know,photo_040.jpg,9.002678723,7.566845996,506.1616823,15.28456228
ID-041,Workshop,Prime Tech,"Abuja FCT, Nigeria",Restaurant/Catering,,5-Feb,,"₦500,000–₦1,000,000",National Grid,11–18,Daily outages,"More than ₦5,000","More than ₦5,000",Very satisfied,Insufficient capacity to power all devices,"TV, Fridge, POS terminal, Fan",200 W,4–6 times per week,"₦4,000",₦1000,Bank transfer,Pay-as-you-use,Switch back to current method,Moderately appealing,Lower rental cost due to shared surplus,"Unreliable availability of charged units, Insufficient capacity to power all devices",Definitely would recommend,More flexibility,Yes,Beyond,photo_041.jpg,9.134507693,7.483475734,529.3386204,11.19583091
ID-042,Workshop,Top Mart,"Abuja FCT, Nigeria",Mobile Trader,,More than 20,,"₦250,000–₦500,000",Mixed sources,0–4,More than 6 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Very dissatisfied,Noise or pollution (if using generator),"Machinery, Fan, Mobile phone charger, Fridge, TV",1000 W,1–3 times per week,"₦4,000",₦500,Bank transfer,Pay-as-you-use,Top up with generator/fuel,Slightly appealing,"Ability to charge/discharge flexibly, Lower rental cost due to shared surplus",Unreliable availability of charged units,Would not recommend,Lower cost,No,-,photo_042.jpg,9.485989962,7.397756205,522.3715759,13.60143716
ID-043,Household (non-business),,"Abuja FCT, Nigeria",Workshop,6,,"₦100,000–₦200,000",,Solar,11–18,2–4 hours,"₦1,000–₦3,000","₦3,000–₦5,000",Satisfied,Noise or pollution (if using generator),"Machinery, TV, Fan, POS terminal",500 W,Every day,"₦6,000",₦1000,Cash,Monthly,Top up with generator/fuel,Moderately appealing,"Lower rental cost due to shared surplus, Ability to charge/discharge flexibly","Unreliable availability of charged units, Difficulty/delay in exchanging batteries, High daily cost compared to current method",Would not recommend,Faster exchange,No,None,photo_043.jpg,9.311888147,7.588887733,544.8848493,17.17309573
ID-044,Household (non-business),,"Abuja FCT, Nigeria",Restaurant/Catering,2,,"₦20,000–₦50,000",,None,0–4,2–4 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Satisfied,Insufficient capacity to power all devices,"Mobile phone charger, Fridge, Machinery, TV, Lights",2000 W,4–6 times per week,"₦6,000",₦1000,POS/Mobile App,Daily,Rent an additional battery,Slightly appealing,"Ability to charge/discharge flexibly, Lower rental cost due to shared surplus","Insufficient capacity to power all devices, High daily cost compared to current method, Unreliable availability of charged units",Probably would recommend,Lower cost,No,-,photo_044.jpg,9.166682962,7.480332851,537.776229,18.25588244
ID-045,MSME,Green Ventures,"Abuja FCT, Nigeria",Office/Consulting,,10-Jun,,"₦50,000–₦250,000",National Grid,11–18,2–4 hours,"₦1,000–₦3,000","More than ₦5,000",Very dissatisfied,High daily cost compared to current method,"TV, Fridge, Lights, Mobile phone charger",300 W,Every day,"₦3,000",₦300,Bank transfer,Weekly,Switch back to current method,Slightly appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus, Ability to charge/discharge flexibly",Insufficient capacity to power all devices,Definitely would recommend,None,No,None,photo_045.jpg,9.264726767,7.466372451,526.5603014,12.44816428
